Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Sales,Date,Time,Payment,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,548.9715,01/05/2019,1:08:00 pm,Ewallet,9.1
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,80.22,03/08/2019,10:29:00 am,Cash,9.6
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,340.5255,03/03/2019,1:23:00 pm,Credit card,7.4
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,489.048,1/27/2019,8:33:00 pm,Ewallet,8.4
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,634.3785,02/08/2019,10:37:00 am,Ewallet,5.3
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,627.6165,3/25/2019,6:30:00 pm,Ewallet,4.1
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,433.692,2/25/2019,2:36:00 pm,Ewallet,5.8
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,772.38,2/24/2019,11:38:00 am,Ewallet,8
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,76.146,01/10/2019,5:15:00 pm,Credit card,7.2
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,172.746,2/20/2019,1:27:00 pm,Credit card,5.9
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,60.816,02/06/2019,6:07:00 pm,Ewallet,4.5
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,107.142,03/09/2019,5:03:00 pm,Cash,6.8
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,246.4875,02/12/2019,10:25:00 am,Ewallet,7.1
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,453.495,02/07/2019,4:48:00 pm,Ewallet,8.2
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,749.49,3/29/2019,7:21:00 pm,Cash,5.7
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,590.436,1/15/2019,4:19:00 pm,Cash,4.5
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,506.6355,03/11/2019,11:03:00 am,Credit card,4.6
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,457.443,01/01/2019,10:39:00 am,Credit card,6.9
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,172.2105,1/21/2019,6:00:00 pm,Credit card,8.6
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,84.63,03/11/2019,3:30:00 pm,Ewallet,4.4
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,451.71,2/25/2019,11:24:00 am,Ewallet,4.8
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,277.137,03/05/2019,10:40:00 am,Ewallet,5.1
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,69.72,3/15/2019,12:20:00 pm,Credit card,4.4
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,181.44,2/17/2019,11:15:00 am,Ewallet,9.9
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,279.1845,03/02/2019,5:36:00 pm,Ewallet,6
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,441.756,3/22/2019,7:20:00 pm,Credit card,8.5
